Appid;Title;Top seller rank; Action; Action-Adventure; Card Game; First-Person Shooter; MMORPG; Simulation; Strategy; But First,  You'll Need A Contract; Changing The Game; Expansive Expansions; Free To Play; Horse Armor; Infinite Money Hole; It's Not Gambling, We Swear; Time Is Money;positive;negative;median_forever;median_2weeks;ccu;10%;25%;5%;1%;100%;share ;class_percentile
109600;Neverwinter;447;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;26573;7660;248;1;1026;1;1;1;0;1;0.010747517;2
378370;Nomad;15420;0;0;0;0;1;0;0;1;1;0;1;0;1;1;1;2716;1816;60;9;21;0;0;0;0;1;0.370753288;5
550470;NosTale - Anime MMORPG;829;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1756;733;54;0;356;1;1;1;0;1;0.019932197;2
302590;Of Guards And Thieves;12383;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;3613;609;90;44;7;0;0;0;0;1;0.297732683;5
1343370;Old School RuneScape;673;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;9771;962;224;0;1109;1;1;1;0;1;0.016181385;2
651470;Onirim - Solitaire Card Game;14845;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;156;38;1;0;1;0;0;0;0;1;0.356928182;5
1509420;Operation Airsoft Beta;14431;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;156;38;1;0;1;0;0;0;0;1;0.346974105;5
312450;Order of Battle: World War II;2486;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1824;570;153;0;342;1;1;0;0;1;0.059772547;3
376310;Otherland MMO;14494;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;272;402;1;0;1;0;0;0;0;1;0.348488856;5
444090;Paladins;158;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;275469;45999;480;89;8320;1;1;1;1;1;0.003798899;1
939510;Pandemic Express - Zombie Escape;12487;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;2523;1771;33;0;9;0;0;0;0;1;0.300233224;5
240320;Panzar;7327;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3289;1732;111;0;24;0;1;0;0;1;0.176167921;4
238960;Path of Exile;35;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;163399;16172;353;4814;23718;1;1;1;1;1;0.000841528;1
1702320;PIGGY: Hunt;6352;0;0;0;0;1;0;0;0;1;0;1;0;1;1;0;797;99;7;0;23;0;1;0;0;1;0.152725349;4
237870;Planet Explorers;15842;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;4163;2416;188;0;18;0;0;0;0;1;0.380899714;5
218230;PlanetSide 2;236;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;53491;11721;137;16;2255;1;1;1;1;1;0.005674305;1
885030;Platform Builder;15737;0;0;0;1;1;0;0;1;1;0;0;1;1;1;0;33;4;0;0;0;0;0;0;0;1;0.378375129;5
314000;Pool Nation FX Lite;7553;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1128;511;14;0;24;0;1;0;0;1;0.181601789;4
